Author,Date,Text,Location,TweetedFromLocation,RetweetStatus,RetweetCount
mcookhyslop,2019-11-05 22:57:16,Congratulations thegistnewsca thegistusa ,nan,Nan,False,0
redfeathers,2019-11-05 22:57:17,RT Rob Kimbell The Economist 2019 GDP growth forecasts 6.0 China 5.7 Egypt 5.0 Indonesia 5.0 India 4.9 Malaysia 2.0 United,United Kingdom,Nan,False,0
AtukundaAnold,2019-11-05 22:57:17,RT MakerereU Makerere emerges 3rd and wins Bronze in 1st Kings of Africa University Rugby Sevens Championship. ht,mb'ra..ug,Nan,False,0
sreenudr,2019-11-05 22:57:17,RT spectatorindex Best countries to travel alone 1. Spain 2. Italy 3. NZ 5. Australia 7. Brazil 8. Ireland 12. Canada 13. Mexico 17. Fr,nan,Nan,False,0
d_w_k,2019-11-05 22:57:17, anne2robertson benhabib6 brexitparty uk Erm havent you been listening The Boris deal includes a provision in t ,"London, England",Nan,False,0
Matty_E_Raps_,2019-11-05 22:57:18,RT WabKinew Great news Manitoba must allow non binary sex designation on birth certificates adjudicator CBC News , 24 ,Nan,False,0
ACRMartsneuro,2019-11-05 22:57:19,"RT ACRMgeriatricR ""I think ACRM is a great place for early career rehabilitation professionals to network, be involved in projects and","Reston, VA",Nan,False,0
AWanderingSouI,2019-11-05 22:57:20," Roroxzy It's coming to PS4 Xone Dec 17 Haven't played the Sims in months but I cannot resist University, looove ",Dark Side of the Moon,Nan,False,0
DiariesPolar,2019-11-05 22:57:20," SahamSaler Yes, you probably made a mistake. If I could leave Canada, I would. escape","Vancouver, British Columbia",Nan,False,0
segura_santiago,2019-11-05 22:57:20,RT spectatorindex Best countries to travel alone 1. Spain 2. Italy 3. NZ 5. Australia 7. Brazil 8. Ireland 12. Canada 13. Mexico 17. Fr,nan,Nan,False,0
DidiM47,2019-11-05 22:57:21,"RT HopeAldridge GeraldKutney nationalpost Conrad Black, the convicted felon upon release from Prison in US should NEVER have been permi",Canada,Nan,False,0
jockosims,2019-11-05 22:57:21,"Thats the way to go RT mrstevenkane Last production meeting before filming. A 500 person crew, Hungarian, Engli ","Los Angeles, CA",Nan,False,0
KribbyMortus,2019-11-05 22:57:21,"RT Magtruth We don't have the resources to take 1 million migrants , the UN meddling in Canada affairs Nation leaders stop paying UN fe","Ontario, Canada",Nan,False,0
MatiasdeD,2019-11-05 22:57:21,Look at where Canada is. So sad.,"Toronto, Canada",Nan,False,0
luvvabtch,2019-11-05 22:57:22,lets see how much i changed year i was given 2007 age above 5 amp below 8 now above 10 amp below 14 relationship , ,Nan,False,0
ymchoi2,2019-11-05 22:57:22,RT SecPompeo In August RealDonaldTrump signed an Executive Order blocking property amp interests in property of the illegitimate Maduro re,nan,Nan,False,0
Iron87102,2019-11-05 22:57:22,RT nylamatuk Resisting Canada doesnt take a 'position' on an 'issue' but concerns poetry that addresses the framework that generates p,nan,Nan,False,0
chrkurts,2019-11-05 22:57:22,RT TheDohertyInst Congratulations again to Associate Professor Sammy Bedoui who was appointed UniBonn Ambassador during a visit to the u,Bonn,Nan,False,0
sjoy7997,2019-11-05 22:57:22,"RT nancylee2016 ""Georgetown University announced last week that it will launch a 400,000 slavery reparations fund that will benefit desc","Iowa, USA",Nan,False,0
accioharo,2019-11-05 22:57:23,Relieved that Satoko is training a lot in Canada now.,"Lenexa, Kansas",Nan,False,0
Debalap,2019-11-05 22:57:23,"RT CSUnited2014 And to think, IF elected AndrewScheer would have built Energy East pipeline, polluting Canada from Alberta to the Atla","Ontario, Canada",Nan,False,0
kim_siever,2019-11-05 22:57:24,"If Alberta and Saskatchewan secede from Canada, I wonder what their states provinces would look like. wexit",Treaty 7 territory,Lethbridge,False,0
StefanieOlarte,2019-11-05 22:57:24,"My mom said No one can take away your education, its the one thing that will stick with you and I dont want to ",nan,Nan,False,0
ReverbRaccoon,2019-11-05 22:57:24,RT saltlickoh the last show we played only 2 people were there pls come to the ones we have coming up 11 8 at spacebar 11 13 solo at di,"Houston, Texas",Nan,False,0
noor_vm,2019-11-05 22:57:24,Still very happy to be in Canada ,nan,Nan,False,0
action_citizen,2019-11-05 22:57:25,RT bnaibrithcanada BREAKING Bnai Brith Canada is deeply concerned after learning that a federal grant was used to produce a guide instr,Canada I Oil Gas,Nan,False,0
legs_bow,2019-11-05 22:57:25,RT SpencerFernando The sickening thing about Canada's collapsing unity is that this country is so easy to keep together. Let the West mas,Central Alberta,Nan,False,0
LanderBaseball,2019-11-05 22:57:25,"We are starting 5 minutes early, but the Lander University Blue Gold World Series Draft has begun ","Greenwood, SC",Greenwood,False,0
Nognud82,2019-11-05 22:57:26,RT 4CRPG TWilsonOttawa 200 increase in gang shootings under Justin. LIBERALS SOLUTION Take away the LEGAL guns. With 4 years wit,"Manitoba, Canada",Nan,False,0
yyc_connection,2019-11-05 22:57:26,"RT CREBNow Are you a recent homebuyer in Calgary, Edmonton or Lethbridge University of Calgary researchers want your perspective Eligib","Calgary, Alberta",Nan,False,0
thomaskgould,2019-11-05 22:57:26,RT scottsantens The BBC definitely deserves some YangMediaShoutOut love for this one. YangGang ,"New Haven, CT",Nan,False,0
AOgr8_8of08,2019-11-05 22:57:26, derya555 Lucas Ranch JustinTrudeau Lmfao r you for real. Honestly. You think gov helps oil companies. Imagine wh ,nan,Nan,False,0
